0:0:0:0:0:0:0:1 - - [15/May/2023:10:18:00 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:10:18:40 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 795
0:0:0:0:0:0:0:1 - - [15/May/2023:10:18:40 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:10:18:45 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:10:18:47 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 795
0:0:0:0:0:0:0:1 - - [15/May/2023:10:18:47 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:10:18:49 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:11:27:39 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:11:27:39 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:11:28:03 +0200] "PUT /arca/rest/animale/update HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [15/May/2023:11:28:04 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:11:33:52 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:11:35:01 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:11:35:08 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:11:35:08 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:11:35:09 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:11:35:09 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:11:36:52 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:11:36:52 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:11:38:03 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:11:39:15 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:11:39:15 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:11:39:15 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:11:39:16 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:12:15:43 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:12:15:44 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:12:15:46 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:12:15:46 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:12:15:47 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:12:15:48 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [15/May/2023:12:15:54 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
